"filename", "language", "Python", "XML", "Markdown", "JavaScript", "CSS", "JavaScript React", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\landing page\winbox.js", "JavaScript", 0, 0, 0, 394, 0, 0, 0, 0, 0, 1, 395
"c:\Users\joeljo\Desktop\TY-project\pulse-review\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\pulse-review\.idea\misc.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\joeljo\Desktop\TY-project\pulse-review\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\pulse-review\.idea\pulseinfographics.iml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\pulse-review\app.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 1, 14, 61
"c:\Users\joeljo\Desktop\TY-project\pulse-review\sendmail.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\joeljo\Desktop\TY-project\pulse-review\static\style.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 11, 74
"c:\Users\joeljo\Desktop\TY-project\pulse-review\templates\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 66, 0, 1, 67
"c:\Users\joeljo\Desktop\TY-project\pulse-review\templates\success.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\joeljo\Desktop\TY-project\react\advisor\.VSCodeCounter\2022-02-26_22-55-33\details.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\joeljo\Desktop\TY-project\react\advisor\.VSCodeCounter\2022-02-26_22-55-33\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\joeljo\Desktop\TY-project\react\advisor\.VSCodeCounter\2022-02-26_22-55-33\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\joeljo\Desktop\TY-project\react\advisor\.VSCodeCounter\2022-02-26_22-55-33\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\joeljo\Desktop\TY-project\react\advisor\.VSCodeCounter\2022-02-26_22-55-33\results.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\joeljo\Desktop\TY-project\react\advisor\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\joeljo\Desktop\TY-project\react\advisor\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 11854, 0, 0, 1, 11855
"c:\Users\joeljo\Desktop\TY-project\react\advisor\package.json", "JSON", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\joeljo\Desktop\TY-project\react\advisor\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 44, 62
"c:\Users\joeljo\Desktop\TY-project\react\advisor\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\App.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 16, 90
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\api\index.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 1, 13, 34
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\Header\Header.jsx", "JavaScript React", 0, 0, 0, 0, 0, 25, 0, 0, 6, 4, 35
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\Header\styles.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\List\List.jsx", "JavaScript React", 0, 0, 0, 0, 0, 49, 0, 0, 0, 8, 57
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\List\styles.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\Map\Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 51, 0, 0, 0, 8, 59
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\Map\styles.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\PlaceDetails\PlaceDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 58, 0, 0, 0, 10, 68
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\components\PlaceDetails\styles.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\joeljo\Desktop\TY-project\react\advisor\src\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\joeljo\Desktop\TY-project\react\expense\.VSCodeCounter\2022-02-26_22-59-07\details.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\joeljo\Desktop\TY-project\react\expense\.VSCodeCounter\2022-02-26_22-59-07\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\joeljo\Desktop\TY-project\react\expense\.VSCodeCounter\2022-02-26_22-59-07\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\joeljo\Desktop\TY-project\react\expense\.VSCodeCounter\2022-02-26_22-59-07\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\joeljo\Desktop\TY-project\react\expense\.VSCodeCounter\2022-02-26_22-59-07\results.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\joeljo\Desktop\TY-project\react\expense\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\joeljo\Desktop\TY-project\react\expense\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 17683, 0, 0, 1, 17684
"c:\Users\joeljo\Desktop\TY-project\react\expense\package.json", "JSON", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 48
"c:\Users\joeljo\Desktop\TY-project\react\expense\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 10, 3, 33
"c:\Users\joeljo\Desktop\TY-project\react\expense\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
